pallets,algorithm,timelimit_ms,avg_time_per_test_ms,pallet_length,pallet_width,score_normalization_height,available_rotations,score_percolation_mult,score_min_support_ratio_mult,score_center_of_mass_z_mult,score_height_balance_mult,pallets_computed_min,pallets_computed_ci_low,pallets_computed_avg,pallets_computed_ci_high,pallets_computed_max,percolation_min,percolation_ci_low,percolation_avg,percolation_ci_high,percolation_max,min_support_ratio_min,min_support_ratio_ci_low,min_support_ratio_avg,min_support_ratio_ci_high,min_support_ratio_max,height_min,height_ci_low,height_avg,height_ci_high,height_max,com_z_rel_min,com_z_rel_ci_low,com_z_rel_avg,com_z_rel_ci_high,com_z_rel_max,height_balance_min,height_balance_ci_low,height_balance_avg,height_balance_ci_high,height_balance_max
multi,LNSSolver,30000,30015.4,1200,800,2200,2,1.0,2.0,0.0,0.0,494.0000,1439.0000,3440.6927,6728.0000,14099.0000,0.4284,0.5934,0.6497,0.6979,0.7308,0.2741,0.3426,0.5095,0.6693,0.8094,1178.0,1799.0,3102.5,4790.0,8708.0,0.3049,0.3526,0.4180,0.4756,0.5244,0.5916,0.7474,0.8492,0.9494,0.9973

one,LNSSolver,60000,60008.8,1200,800,2200,2,1.0,2.0,0.0,0.0,300.0000,1733.0000,12648.5183,43199.0000,241841.0000,0.4570,0.5770,0.6711,0.7696,0.8942,0.4237,0.5393,0.6915,0.9805,1.0000,346.0,859.0,2582.3,4889.0,9076.0,0.3881,0.4345,0.4934,0.5561,0.5794,1.0000,1.0000,1.0000,1.0000,1.0000
multi,LNSSolver,60000,60016.0,1200,800,2200,2,1.0,2.0,0.0,0.0,985.0000,2902.0000,6992.5849,13875.0000,33040.0000,0.4287,0.6165,0.6631,0.7094,0.7539,0.2741,0.3788,0.5261,0.6710,0.8094,1178.0,1787.0,3031.0,4634.0,8706.0,0.3027,0.3642,0.4231,0.4808,0.5442,0.6563,0.7410,0.8513,0.9553,0.9938



one,GeneticSolver,500,637.0,1200,800,2200,2,1.0,2.0,0.0,0.0,24.0000,24.0000,110.2500,346.0000,1887.0000,0.3193,0.4767,0.5999,0.6692,0.8287,0.2654,0.2839,0.4741,0.7949,1.0000,412.0,1050.0,2811.0,5037.0,9236.0,0.2691,0.3972,0.4613,0.5042,0.5278,1.0000,1.0000,1.0000,1.0000,1.0000
multi,GeneticSolver,500,1077.2,1200,800,2200,2,1.0,2.0,0.0,0.0,48.0000,48.0000,107.9037,144.0000,235.0000,0.4292,0.5823,0.6115,0.6379,0.6581,0.2464,0.2580,0.2977,0.4564,0.7138,1628.0,2074.0,3237.6,4766.0,6372.0,0.2918,0.3546,0.4046,0.4559,0.4809,0.6421,0.7606,0.8569,0.9556,0.9932

one,GeneticSolver,1000,1139.9,1200,800,2200,2,1.0,2.0,0.0,0.0,24.0000,47.0000,206.4174,622.0000,3750.0000,0.3067,0.4801,0.6010,0.6779,0.8287,0.2654,0.2951,0.5296,0.8501,1.0000,412.0,1004.0,2833.2,5373.0,9236.0,0.3134,0.3941,0.4593,0.5024,0.5372,1.0000,1.0000,1.0000,1.0000,1.0000
multi,GeneticSolver,1000,1441.1,1200,800,2200,2,1.0,2.0,0.0,0.0,48.0000,72.0000,155.0115,282.0000,580.0000,0.3412,0.5348,0.6046,0.6375,0.6591,0.2464,0.2580,0.3237,0.5395,0.7179,1702.0,2085.0,3302.6,4848.0,11860.0,0.1483,0.3387,0.4025,0.4558,0.4868,0.1785,0.7332,0.8518,0.9505,0.9953

one,GeneticSolver,2000,2132.4,1200,800,2200,2,1.0,2.0,0.0,0.0,24.0000,70.0000,403.7638,1312.0000,7062.0000,0.3827,0.5218,0.6173,0.7100,0.8942,0.2654,0.3094,0.5690,0.9067,1.0000,412.0,940.0,2771.5,5167.0,9236.0,0.3531,0.4023,0.4659,0.5090,0.5366,1.0000,1.0000,1.0000,1.0000,1.0000
multi,GeneticSolver,2000,2477.1,1200,800,2200,2,1.0,2.0,0.0,0.0,72.0000,140.0000,275.2867,465.0000,1040.0000,0.3412,0.5249,0.6003,0.6354,0.6592,0.2464,0.2594,0.3636,0.5614,0.7138,1236.0,2082.0,3340.1,4972.0,11860.0,0.1483,0.3407,0.4012,0.4561,0.4868,0.1785,0.7299,0.8510,0.9487,0.9990

one,GeneticSolver,5000,5130.6,1200,800,2200,2,1.0,2.0,0.0,0.0,47.0000,162.0000,1007.1445,3336.0000,17665.0000,0.4521,0.5386,0.6345,0.7266,0.8942,0.2654,0.4319,0.6202,0.9572,1.0000,412.0,929.0,2717.2,5242.0,9236.0,0.3620,0.4086,0.4693,0.5119,0.5579,1.0000,1.0000,1.0000,1.0000,1.0000
multi,GeneticSolver,5000,5470.6,1200,800,2200,2,1.0,2.0,0.0,0.0,141.0000,279.0000,627.5665,1152.0000,2488.0000,0.3942,0.5216,0.5901,0.6355,0.6633,0.2555,0.2712,0.4406,0.5990,0.7380,1187.0,2068.0,3421.0,5157.0,13039.0,0.1706,0.3393,0.3988,0.4561,0.4933,0.3449,0.7335,0.8483,0.9487,0.9954

one,GeneticSolver,10000,10136.2,1200,800,2200,2,1.0,2.0,0.0,0.0,93.0000,323.0000,2029.0619,6303.0000,34570.0000,0.4322,0.5742,0.6519,0.7396,0.8942,0.2654,0.4879,0.6384,0.9675,1.0000,412.0,912.0,2637.0,5034.0,9236.0,0.3707,0.4242,0.4749,0.5156,0.5640,1.0000,1.0000,1.0000,1.0000,1.0000
multi,GeneticSolver,10000,10463.2,1200,800,2200,2,1.0,2.0,0.0,0.0,210.0000,555.0000,1210.1101,2212.0000,5248.0000,0.4347,0.5413,0.5996,0.6410,0.6931,0.2612,0.3250,0.4783,0.6361,0.7370,1189.0,1982.0,3350.1,5084.0,9103.0,0.2951,0.3362,0.4029,0.4607,0.5067,0.5764,0.7348,0.8516,0.9563,0.9855

one,GeneticSolver,30000,30125.8,1200,800,2200,2,1.0,2.0,0.0,0.0,208.0000,944.0000,6113.1445,19114.0000,102420.0000,0.4706,0.5892,0.6693,0.7532,0.8942,0.4368,0.5097,0.6648,0.9797,1.0000,412.0,915.0,2571.7,4983.0,9971.0,0.3655,0.4288,0.4820,0.5361,0.5611,1.0000,1.0000,1.0000,1.0000,1.0000
multi,GeneticSolver,30000,30484.8,1200,800,2200,2,1.0,2.0,0.0,0.0,555.0000,1524.0000,3544.0826,6903.0000,15552.0000,0.4640,0.5677,0.6192,0.6636,0.7239,0.2877,0.3704,0.5152,0.6415,0.7907,1187.0,1872.0,3220.9,5011.0,7872.0,0.2859,0.3601,0.4098,0.4596,0.5090,0.5975,0.7594,0.8568,0.9492,0.9925

one,GeneticSolver,60000,60138.0,1200,800,2200,2,1.0,2.0,0.0,0.0,438.0000,1956.0000,12348.4656,39607.0000,211049.0000,0.4739,0.5935,0.6738,0.7528,0.8942,0.4877,0.5401,0.6848,0.9842,1.0000,412.0,912.0,2557.1,4946.0,9466.0,0.3655,0.4336,0.4842,0.5314,0.5740,1.0000,1.0000,1.0000,1.0000,1.0000
multi,GeneticSolver,60000,60499.3,1200,800,2200,2,1.0,2.0,0.0,0.0,1038.0000,3042.0000,7098.2683,13665.0000,31468.0000,0.4805,0.5729,0.6290,0.6760,0.7358,0.3327,0.4200,0.5304,0.6550,0.7898,1160.0,1858.0,3179.8,4935.0,7794.0,0.2851,0.3540,0.4113,0.4644,0.5460,0.5912,0.7583,0.8562,0.9470,0.9991



one,DBLFSolver,5000,7.5,1200,800,2200,2,1.0,2.0,0.0,0.0,1.0000,1.0000,1.0000,1.0000,1.0000,0.5123,0.6061,0.6519,0.6977,0.8069,0.0000,0.0010,0.0244,0.0828,0.7255,436.0,1024.0,2562.0,4654.0,9040.0,0.3559,0.4552,0.5163,0.5572,0.5914,1.0000,1.0000,1.0000,1.0000,1.0000
multi,DBLFSolver,5000,21.2,1200,800,2200,2,1.0,2.0,0.0,0.0,2.0000,2.0000,3.9817,6.0000,6.0000,0.5931,0.6216,0.6460,0.6693,0.7186,0.0000,0.0005,0.0044,0.0128,0.0678,1340.0,1904.0,3060.3,4432.0,6255.0,0.3076,0.3614,0.4205,0.4903,0.5441,0.6335,0.7676,0.8536,0.9456,0.9998

one,FFDSolver,5000,8.3,1200,800,2200,2,1.0,2.0,0.0,0.0,1.0000,1.0000,1.0000,1.0000,1.0000,0.5810,0.6194,0.6636,0.7071,0.7966,0.0000,0.0017,0.0246,0.0798,0.6368,458.0,967.0,2529.2,4552.0,8578.0,0.3735,0.4892,0.5494,0.5924,0.6207,1.0000,1.0000,1.0000,1.0000,1.0000
multi,FFDSolver,5000,20.9,1200,800,2200,2,1.0,2.0,0.0,0.0,2.0000,2.0000,3.9817,6.0000,6.0000,0.6015,0.6299,0.6522,0.6777,0.7008,0.0000,0.0005,0.0042,0.0130,0.0554,1397.0,2537.0,4460.5,6432.0,9132.0,0.2628,0.2767,0.3504,0.4456,0.4669,0.4013,0.4437,0.5216,0.6168,0.6725

one,GreedySolver,5000,12.8,1200,800,2200,2,1.0,2.0,0.0,0.0,1.0000,1.0000,1.0000,1.0000,1.0000,0.4066,0.4820,0.5604,0.6357,0.8271,0.2101,0.2530,0.3031,0.4036,0.9617,436.0,1150.0,3018.8,5587.0,10041.0,0.3332,0.4324,0.5115,0.5602,0.6002,1.0000,1.0000,1.0000,1.0000,1.0000
multi,GreedySolver,5000,38.2,1200,800,2200,2,1.0,2.0,0.0,0.0,2.0000,2.0000,3.9817,6.0000,6.0000,0.4662,0.5183,0.5533,0.5864,0.6442,0.0116,0.1254,0.1908,0.2728,0.3327,1466.0,2318.0,3654.4,5333.0,7026.0,0.2920,0.3433,0.4079,0.4849,0.5407,0.5339,0.7380,0.8357,0.9524,0.9969



multi,LNSSolver,10000,10017.4,1200,800,2200,2,1.0,2.0,0.0,0.0,165.0000,467.0000,1128.5459,2234.0000,4625.0000,0.3453,0.5866,0.6338,0.6818,0.7207,0.2357,0.2921,0.4608,0.6414,0.7952,1202.0,1849.0,3197.4,4818.0,10642.0,0.3011,0.3542,0.4134,0.4740,0.5183,0.5837,0.7430,0.8461,0.9520,0.9982
multi,LNSSolver,10000,10016.1,1200,800,2200,2,1.0,2.0,0.0,0.1,177.0000,499.0000,1197.9794,2303.0000,4971.0000,0.3411,0.5835,0.6349,0.6826,0.7304,0.2534,0.2926,0.4628,0.6457,0.7785,1218.0,1843.0,3182.2,4823.0,10642.0,0.3091,0.3600,0.4157,0.4785,0.5183,0.5837,0.7517,0.8489,0.9425,0.9984
multi,LNSSolver,10000,10015.5,1200,800,2200,2,1.0,2.0,0.0,0.2,169.0000,474.0000,1148.9289,2224.0000,4693.0000,0.3669,0.5793,0.6339,0.6835,0.7085,0.2357,0.2980,0.4620,0.6433,0.7785,1256.0,1889.0,3171.1,4789.0,9923.0,0.2996,0.3574,0.4163,0.4842,0.5180,0.6401,0.7515,0.8524,0.9544,0.9989
multi,LNSSolver,10000,10015.5,1200,800,2200,2,1.0,2.0,0.0,0.5,162.0000,472.0000,1166.8716,2405.0000,5490.0000,0.1644,0.5467,0.6152,0.6722,0.7267,0.2357,0.2924,0.4542,0.6224,0.7734,1125.0,1831.0,3183.2,4972.0,17945.0,0.2766,0.3613,0.4269,0.4878,0.5250,0.7470,0.7966,0.8979,0.9887,0.9996
multi,LNSSolver,10000,10016.2,1200,800,2200,2,1.0,2.0,0.0,0.8,165.0000,451.0000,1161.0321,2346.0000,5913.0000,0.1648,0.4733,0.5737,0.6334,0.7135,0.2431,0.2898,0.4501,0.6223,0.7866,1243.0,1857.0,3226.2,4846.0,17798.0,0.2816,0.3776,0.4435,0.5009,0.5421,0.7589,0.8584,0.9516,0.9998,1.0000
multi,LNSSolver,10000,10016.0,1200,800,2200,2,1.0,2.0,0.0,1.0,168.0000,493.0000,1212.5115,2430.0000,6098.0000,0.1689,0.4428,0.5524,0.6180,0.6471,0.2365,0.2876,0.4497,0.6527,0.7985,1178.0,1928.0,3278.9,5007.0,17370.0,0.3371,0.3874,0.4498,0.5029,0.5547,0.8103,0.8849,0.9676,0.9999,1.0000
